County Name,2017,2018,Jan17,Feb17,Mar17,Apr17,May17,Jun17,Jul17,Aug17,Sep17,Oct17,Nov17,Dec17,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Fulton,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,22.0,14.0,6.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0
Huntingdon,10.0,13.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0
Indiana,14.0,22.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0
Jefferson,24.0,10.0,1.0,3.0,1.0,2.0,3.0,0.0,4.0,3.0,2.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0
Juniata,5.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,5.0
Lackawanna,140.0,165.0,19.0,4.0,9.0,14.0,15.0,11.0,13.0,15.0,15.0,12.0,7.0,6.0,3.0,8.0,12.0,19.0,8.0,12.0,22.0,11.0,16.0,18.0,12.0,24.0
Lancaster,290.0,320.0,33.0,16.0,28.0,24.0,15.0,26.0,41.0,25.0,34.0,28.0,10.0,10.0,18.0,31.0,30.0,33.0,33.0,20.0,32.0,19.0,22.0,27.0,20.0,35.0
Lawrence,56.0,42.0,12.0,0.0,5.0,4.0,11.0,2.0,8.0,4.0,3.0,1.0,2.0,4.0,0.0,1.0,4.0,4.0,1.0,1.0,7.0,4.0,4.0,6.0,4.0,6.0
Lebanon,57.0,71.0,4.0,5.0,7.0,4.0,9.0,3.0,7.0,3.0,4.0,6.0,4.0,1.0,5.0,9.0,8.0,7.0,4.0,5.0,7.0,12.0,4.0,2.0,5.0,3.0
Lehigh,215.0,249.0,26.0,22.0,24.0,27.0,20.0,7.0,20.0,16.0,21.0,17.0,7.0,8.0,14.0,14.0,23.0,37.0,30.0,13.0,23.0,29.0,20.0,21.0,10.0,15.0
