Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Intakes,Georeferenced Lat/Long
10/15/18,Cameron,12,42023,"(41.4388026531, -78.2091693241)",0,POINT (-78.2091693241 41.4388026531)
1/30/17,Westmoreland,65,42129,"(40.3103149985, -79.471341176)",2,POINT (-79.471341176 40.3103149985)
11/19/18,Somerset,56,42111,"(39.9714629901, -79.0310020611)",0,POINT (-79.0310020611 39.9714629901)
4/8/19,Jefferson,33,42065,"(41.1313909115, -79.0010181419)",0,POINT (-79.0010181419 41.1313909115)
4/29/19,Crawford,20,42039,"(41.6854690692, -80.1132108295)",0,POINT (-80.1132108295 41.6854690692)
4/29/19,Dauphin,22,42043,"(40.4197463597, -76.7796056802)",6,POINT (-76.7796056802 40.4197463597)
9/18/17,Northampton,48,42095,"(40.754595404, -75.3126372576)",1,POINT (-75.3126372576 40.754595404)
6/10/19,Washington,63,42125,"(40.1910966345, -80.2518008276)",3,POINT (-80.2518008276 40.1910966345)
4/15/19,Huntingdon,31,42061,"(40.4161050032, -77.9827661036)",1,POINT (-77.9827661036 40.4161050032)
11/27/17,Warren,62,42123,"(41.8167523652, -79.278581578)",0,POINT (-79.278581578 41.8167523652)
11/21/16,York,67,42133,"(39.9219253124, -76.7257605231)",5,POINT (-76.7257605231 39.9219253124)
11/6/17,Blair,7,42013,"(40.4855502384, -78.349076871)",1,POINT (-78.349076871 40.4855502384)
7/9/18,Forest,27,42053,"(41.5135787577, -79.2378099483)",0,POINT (-79.2378099483 41.5135787577)
2/6/17,Tioga,59,42117,"(41.7733383358, -77.2578807579)",1,POINT (-77.2578807579 41.7733383358)
3/20/17,Warren,62,42123,"(41.8167523652, -79.278581578)",0,POINT (-79.278581578 41.8167523652)
5/14/18,Venango,61,42121,"(41.4034125863, -79.7628656104)",1,POINT (-79.7628656104 41.4034125863)
11/26/18,Beaver,4,42007,"(40.6834924548, -80.3510735648)",3,POINT (-80.3510735648 40.6834924548)
11/28/16,Schuylkill,54,42107,"(40.707512431, -76.223323851)",1,POINT (-76.223323851 40.707512431000005)
11/28/16,Pike,52,42103,"(41.332571995, -75.0327092448)",0,POINT (-75.0327092448 41.332571995)
7/3/17,Lycoming,41,42081,"(41.3445979226, -77.069424568)",3,POINT (-77.069424568 41.3445979226)
1/14/19,Cambria,11,42021,"(40.4912749067, -78.7189417385)",0,POINT (-78.7189417385 40.4912749067)
5/15/17,Venango,61,42121,"(41.4034125863, -79.7628656104)",1,POINT (-79.7628656104 41.4034125863)
10/2/17,Montour,47,42093,"(41.0280182438, -76.6647052668)",0,POINT (-76.6647052668 41.0280182438)
10/30/17,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",0,POINT (-76.4618257486 40.3675970024)
5/7/18,Bedford,5,42009,"(40.0073753643, -78.4911647381)",0,POINT (-78.4911647381 40.0073753643)
12/12/16,Union,60,42119,"(40.9647313096, -77.0641580308)",0,POINT (-77.0641580308 40.9647313096)
5/22/17,Chester,15,42029,"(39.9748705566, -75.7562649818)",5,POINT (-75.7562649818 39.9748705566)
8/21/17,Berks,6,42011,"(40.4193963513, -75.9307732705)",0,POINT (-75.93077327050001 40.4193963513)
4/16/18,Somerset,56,42111,"(39.9714629901, -79.0310020611)",0,POINT (-79.0310020611 39.9714629901)
1/15/18,Lehigh,39,42077,"(40.6146479416, -75.6009948118)",,POINT (-75.6009948118 40.6146479416)
2/11/19,Cameron,12,42023,"(41.4388026531, -78.2091693241)",0,POINT (-78.2091693241 41.4388026531)
2/4/19,Delaware,23,42045,"(39.9165786652, -75.4062771212)",102,POINT (-75.40627712120002 39.9165786652)
2/20/17,Susquehanna,58,42115,"(41.8205685982, -75.8025030296)",0,POINT (-75.8025030296 41.8205685982)
3/27/17,Pike,52,42103,"(41.332571995, -75.0327092448)",1,POINT (-75.0327092448 41.332571995)
1/7/19,Erie,25,42049,"(41.9941378702, -80.0407591036)",2,POINT (-80.0407591036 41.9941378702)
8/5/19,Montour,47,42093,"(41.0280182438, -76.6647052668)",0,POINT (-76.6647052668 41.0280182438)
11/26/18,Carbon,13,42025,"(40.9193670081, -75.7110703866)",1,POINT (-75.7110703866 40.9193670081)
8/14/17,Bradford,8,42015,"(41.7911781401, -76.5182562384)",0,POINT (-76.5182562384 41.7911781401)
10/2/17,Chester,15,42029,"(39.9748705566, -75.7562649818)",1,POINT (-75.7562649818 39.9748705566)
2/19/18,McKean,42,42083,"(41.810370736, -78.5712201998)",1,POINT (-78.57122019980001 41.810370736)
7/8/19,Columbia,19,42037,"(41.0491208559, -76.4100217975)",0,POINT (-76.4100217975 41.0491208559)
1/23/17,Bucks,9,42017,"(40.335011331, -75.1129124111)",5,POINT (-75.1129124111 40.335011331)
2/26/18,Montgomery,46,42091,"(40.209898739, -75.3725200072)",9,POINT (-75.3725200072 40.209898739)
3/12/18,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",1,POINT (-76.4618257486 40.3675970024)
4/29/19,Susquehanna,58,42115,"(41.8205685982, -75.8025030296)",0,POINT (-75.8025030296 41.8205685982)
3/27/17,McKean,42,42083,"(41.810370736, -78.5712201998)",0,POINT (-78.57122019980001 41.810370736)
5/8/17,Mifflin,44,42087,"(40.6127492804, -77.6200308901)",0,POINT (-77.6200308901 40.6127492804)
4/8/19,McKean,42,42083,"(41.810370736, -78.5712201998)",0,POINT (-78.57122019980001 41.810370736)
9/18/17,Mifflin,44,42087,"(40.6127492804, -77.6200308901)",0,POINT (-77.6200308901 40.6127492804)
6/25/18,Franklin,28,42055,"(39.9278619704, -77.7239884483)",2,POINT (-77.7239884483 39.9278619704)
3/18/19,Montgomery,46,42091,"(40.209898739, -75.3725200072)",8,POINT (-75.3725200072 40.209898739)
1/29/18,Cumberland,21,42041,"(40.167598388, -77.268662705)",3,POINT (-77.268662705 40.167598388)
4/15/19,Bucks,9,42017,"(40.335011331, -75.1129124111)",1,POINT (-75.1129124111 40.335011331)
5/20/19,Delaware,23,42045,"(39.9165786652, -75.4062771212)",7,POINT (-75.40627712120002 39.9165786652)
6/11/18,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",0,POINT (-76.4618257486 40.3675970024)
12/10/18,Armstrong,3,42005,"(40.8150952555, -79.4731689893)",1,POINT (-79.4731689893 40.8150952555)
6/11/18,Luzerne,40,42079,"(41.1783643884, -75.991996098)",9,POINT (-75.991996098 41.178364388400006)
4/3/17,Bradford,8,42015,"(41.7911781401, -76.5182562384)",0,POINT (-76.5182562384 41.7911781401)
